quote_id;Insurer_A_price;Insurer_B_price;Insurer_C_price;Insurer_D_price;Insurer_E_price;Insurer_F_price;Insurer_G_price;Insurer_H_price;Insurer_I_price;Insurer_J_price;Insurer_K_price
541293;56.32;76.53;61.44;96.32;95.48;61.41;60.11;5.7;179.15;128.47;146.27
541294;28.97;29.51;36.09;37.39;44.64;34.64;28.16;69.53;34.73;36.98;48.54
541295;27.98;37.17;33.1;35.12;47.1;33.57;27.92;2.82;36.82;48.32;31.94
541296;269.46;334.52;292.2;261.43;473.63;266.32;170.17;326.39;265.1;640.45;340.32
541297;167.55;236.28;225.12;236.48;310.67;158.49;161.87;192.21;192.42;286.47;269.78
541298;49.75;65.32;57.15;51.14;79.75;59.27;55.91;100.05;59.03;82.28;85.07
541299;172.57;201.58;212.14;145.61;221.25;135.64;134.52;249.35;167.68;285.65;172.1
541300;269.46;334.52;292.2;261.43;473.63;266.32;170.17;326.39;265.1;640.45;340.32
541301;53.44;71.88;66.18;81.57;81.27;65.41;65.04;95.87;97.95;67.23;90.25
541302;166.97;232.98;223.89;226.8;301.37;158.08;156.28;189.47;190.53;286.78;266.51
541303;49.75;65.32;57.15;51.14;79.75;59.27;55.91;100.05;59.03;82.28;85.07
541304;132.9;149.37;193.13;168.95;156.08;97.54;108.64;176.01;175.13;182.53;141.37
541305;172.06;200.66;211.82;145.06;220.56;135.98;134.08;249.35;168.11;286.37;172.1
541306;182.71;239.78;228.3;267.32;340.68;164.27;165.29;182.16;204.63;304.42;302.05
541307;122.77;137.07;150.48;130.77;201.68;160.73;112.32;138.21;120.85;154.91;175.55
541308;140.06;193.33;180.26;189.68;224.15;131.33;134.99;170.48;199.46;227.23;214.76
541309;234.88;274.87;279.08;208.63;348.48;228.75;184.03;341.91;253.54;361.28;299.86
541310;38.18;54.68;52.83;59.08;58.99;61.51;57.41;45.96;74.6;59.66;55.27
541311;266.3;471.99;356.55;377.17;543.61;403.2;352.95;401.89;435.81;536.66;503.09
541312;175.96;199.09;214.9;145.61;224.39;136.25;133.89;256.77;168.31;295.77;184.0
541313;28.97;29.51;36.09;37.39;44.64;34.64;28.16;69.53;34.73;36.98;48.54
541314;41.45;37.59;50.22;40.2;57.74;41.73;30.47;-5.31;51.08;46.89;46.0
541315;198.9;251.09;291.37;220.04;289.5;190.33;184.47;368.16;219.94;282.01;276.34
541316;40.62;55.5;48.57;53.58;46.67;51.92;40.18;42.34;67.33;55.69;47.66
541317;33.42;44.96;43.91;44.71;45.25;41.99;39.07;42.75;40.94;62.02;58.63
541318;45.22;57.13;49.12;53.77;54.4;52.27;41.11;44.31;65.78;58.54;49.55
541319;38.13;60.99;48.27;77.98;74.28;43.6;66.71;35.27;117.48;74.41;77.04
541320;242.5;306.6;346.77;230.77;247.44;248.71;182.01;294.51;257.24;442.58;287.47
541321;44.81;66.82;64.46;68.2;95.88;71.19;65.02;86.12;66.16;71.43;95.31
541322;173.68;261.27;236.45;217.27;221.54;212.05;229.72;280.13;254.92;360.63;252.64
541323;63.32;86.2;81.34;70.12;105.41;69.35;78.76;130.64;76.85;89.01;87.82
541324;33.81;49.57;49.87;44.64;54.81;50.6;45.76;46.35;60.43;51.0;59.75
541325;219.34;268.7;296.17;195.13;289.12;197.34;176.77;277.76;256.26;325.28;234.34
541326;73.0;85.13;77.31;97.84;49.06;90.69;87.97;94.48;105.4;80.07;84.97
541327;158.75;192.69;173.29;216.39;212.43;132.64;120.1;237.34;234.99;219.96;183.35
541328;174.52;265.43;236.37;218.2;224.59;212.58;237.65;287.61;258.88;359.44;254.4
541329;109.78;132.45;125.05;156.81;153.83;99.81;82.84;100.08;123.65;172.42;162.01
541330;158.75;192.69;175.98;217.11;214.34;132.25;120.19;253.16;237.8;222.82;218.85
541331;44.7;39.73;55.42;45.19;71.64;43.45;34.0;21.5;61.56;39.58;52.62
541332;59.62;81.51;78.99;77.45;86.82;88.62;82.08;96.6;85.82;114.23;86.44
541333;66.3;91.86;83.77;103.23;104.62;84.49;91.31;99.21;116.43;99.96;148.11
541334;117.55;169.36;131.16;154.45;136.03;134.76;157.09;138.9;148.52;261.37;186.1
541335;117.89;199.09;151.3;150.19;194.02;177.8;123.36;121.77;108.81;211.65;206.21
541336;56.55;58.67;75.01;64.03;99.59;62.88;46.15;18.11;124.29;59.36;102.99
541337;117.96;200.05;151.44;153.59;192.51;184.42;123.96;121.94;110.72;214.73;209.04
541338;273.74;324.14;292.3;259.31;477.38;267.77;176.08;327.67;265.1;640.45;344.54
541339;103.22;122.1;102.2;115.9;97.86;101.77;102.24;104.08;109.53;187.53;123.83
541340;28.2;36.58;38.88;36.97;40.11;40.97;37.33;46.86;43.45;39.21;45.08
541341;130.11;196.07;157.65;136.5;199.04;167.85;116.36;117.44;107.22;228.16;219.97
541342;33.42;44.96;43.91;44.71;45.25;41.99;39.07;42.75;40.94;62.02;58.63
541343;158.64;266.44;253.5;280.99;273.47;186.22;174.61;132.86;217.56;270.09;225.51
541344;256.77;299.28;278.18;241.74;349.54;237.62;164.55;300.76;236.48;504.33;281.89
541345;20.93;24.82;24.48;23.3;35.71;24.9;19.98;20.69;39.98;36.33;27.9
541346;59.49;68.71;71.18;68.29;36.69;66.48;67.76;70.91;64.33;108.32;91.17
541347;33.42;44.96;43.91;44.71;45.25;41.99;39.07;42.75;40.94;62.02;58.63
541348;48.06;64.8;75.21;66.98;86.32;55.57;71.85;222.61;57.09;92.83;89.18
541349;256.77;299.28;278.18;241.74;349.54;237.62;164.55;300.76;236.48;504.33;281.89
541350;44.96;52.98;57.01;67.01;45.86;52.34;50.43;34.91;75.11;101.25;62.43
541351;33.42;44.96;43.91;44.71;45.25;41.99;39.07;42.75;40.94;62.02;58.63
541352;33.42;44.96;43.91;44.71;45.25;41.99;39.07;42.75;40.94;62.02;58.63
541353;24.3;29.87;33.77;39.26;34.47;28.63;30.2;58.8;57.24;41.9;48.51
